run_key,model,img_size,epochs,lr,optimizer,augment,test_acc_%,top5_acc_%,macro_f1,weighted_f1,macro_precision,macro_recall,train_min
svm_img64_C10_augTrue,svm,64,N/A,N/A,rbf,True,66.97,81.72,0.523,0.654,0.622,0.507,9.7
efficientnet_b0_img128_ep5_lr0.0001_adam_augTrue,efficientnet_b0,128,5,0.0001,adam,True,66.9,87.56,0.512,0.613,0.691,0.485,1.1
svm_img128_C10_augFalse,svm,128,N/A,N/A,rbf,False,64.52,82.33,0.48,0.616,0.634,0.452,14.7
svm_img128_C10_augTrue,svm,128,N/A,N/A,rbf,True,63.75,80.03,0.46,0.612,0.565,0.444,47.1
efficientnet_b0_img128_ep5_lr0.001_sgd_augFalse,efficientnet_b0,128,5,0.001,sgd,False,62.29,82.26,0.397,0.545,0.507,0.401,1.0
efficientnet_b0_img128_ep5_lr0.001_sgd_augTrue,efficientnet_b0,128,5,0.001,sgd,True,58.53,80.88,0.356,0.505,0.506,0.353,1.1
vit_small_img224_ep10_lr0.0001_sgd_augFalse,vit_small,224,10,0.0001,sgd,False,58.29,77.73,0.323,0.501,0.387,0.342,7.3
vit_small_img224_ep10_lr0.0001_sgd_augTrue,vit_small,224,10,0.0001,sgd,True,52.15,74.12,0.248,0.433,0.291,0.27,7.4
resnet18_img128_ep10_lr0.0001_sgd_augFalse,resnet18,128,10,0.0001,sgd,False,52.15,68.05,0.238,0.429,0.273,0.265,1.4
resnet18_img224_ep10_lr0.0001_sgd_augFalse,resnet18,224,10,0.0001,sgd,False,47.16,64.36,0.175,0.36,0.205,0.199,2.6
resnet18_img128_ep10_lr0.0001_sgd_augTrue,resnet18,128,10,0.0001,sgd,True,44.7,61.29,0.175,0.352,0.207,0.194,1.5
resnet18_img224_ep10_lr0.0001_sgd_augTrue,resnet18,224,10,0.0001,sgd,True,42.17,60.14,0.14,0.312,0.196,0.156,2.7
vit_small_img224_ep5_lr0.0001_sgd_augFalse,vit_small,224,5,0.0001,sgd,False,38.86,57.99,0.125,0.284,0.15,0.138,3.7
efficientnet_b0_img224_ep10_lr0.0001_sgd_augFalse,efficientnet_b0,224,10,0.0001,sgd,False,36.41,53.84,0.126,0.268,0.19,0.121,4.3
vit_small_img224_ep5_lr0.0001_sgd_augTrue,vit_small,224,5,0.0001,sgd,True,35.02,55.22,0.095,0.247,0.129,0.107,3.8
resnet18_img128_ep5_lr0.0001_sgd_augFalse,resnet18,128,5,0.0001,sgd,False,34.49,51.77,0.091,0.238,0.105,0.102,0.7
efficientnet_b0_img224_ep10_lr0.0001_sgd_augTrue,efficientnet_b0,224,10,0.0001,sgd,True,33.41,51.69,0.102,0.23,0.142,0.105,4.3
resnet18_img224_ep5_lr0.0001_sgd_augFalse,resnet18,224,5,0.0001,sgd,False,32.64,48.16,0.058,0.195,0.081,0.075,1.3
resnet18_img128_ep5_lr0.0001_sgd_augTrue,resnet18,128,5,0.0001,sgd,True,32.64,46.54,0.064,0.207,0.071,0.078,0.7
efficientnet_b0_img128_ep10_lr0.0001_sgd_augFalse,efficientnet_b0,128,10,0.0001,sgd,False,31.18,50.46,0.093,0.213,0.168,0.087,2.1
efficientnet_b0_img224_ep5_lr0.0001_sgd_augFalse,efficientnet_b0,224,5,0.0001,sgd,False,30.41,44.24,0.069,0.206,0.093,0.074,2.2
efficientnet_b0_img224_ep5_lr0.0001_sgd_augTrue,efficientnet_b0,224,5,0.0001,sgd,True,30.26,43.7,0.07,0.208,0.094,0.073,2.3
resnet18_img224_ep5_lr0.0001_sgd_augTrue,resnet18,224,5,0.0001,sgd,True,29.34,43.39,0.033,0.156,0.037,0.053,1.3
efficientnet_b0_img128_ep10_lr0.0001_sgd_augTrue,efficientnet_b0,128,10,0.0001,sgd,True,28.42,44.32,0.059,0.178,0.094,0.062,2.1
efficientnet_b0_img128_ep5_lr0.0001_sgd_augFalse,efficientnet_b0,128,5,0.0001,sgd,False,26.73,39.86,0.044,0.159,0.074,0.05,1.1
efficientnet_b0_img128_ep5_lr0.0001_sgd_augTrue,efficientnet_b0,128,5,0.0001,sgd,True,24.73,36.71,0.029,0.14,0.033,0.039,1.1
